gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04851	NA	984.291	1.593	0.343	1.18e-4
CNAG_04852	NDX4	49.097	0.59	0.865	0.7454
CNAG_04853	NA	75.129	-0.026	0.729	0.988
CNAG_04855	NA	166.566	-1.563	0.517	0.02333
CNAG_04857	NA	5620.161	-1.082	0.333	0.01302
CNAG_04858	NA	46.355	0.974	0.897	0.5625
CNAG_04859	NA	112.555	-0.273	0.565	0.8327
CNAG_04860	XPT1	716.6	0.302	0.345	0.6585
CNAG_04861	NA	610.881	-1.931	1.15	0.2953
CNAG_04862	NA	900.386	0.921	0.3	0.02093
CNAG_04863	VPS25	63.095	0.038	0.762	0.9858
CNAG_04864	CIR1	1157.089	-0.174	0.283	0.7781
CNAG_04865	NA	29.571	-3.066	1.175	0.06152
CNAG_04866	NA	298.935	-1.535	0.391	0.00174
CNAG_04867	NA	591.559	-0.696	0.339	0.1727
CNAG_04868	NA	211.122	-0.194	0.471	0.858
CNAG_04869	PNB1	197.826	-0.699	0.518	0.435
CNAG_04870	NA	29.126	2.602	1.133	0.1141
CNAG_04871	NA	36.707	-0.876	0.953	0.6381
CNAG_04872	NA	285.66	-0.55	0.416	0.4498
CNAG_04873	NA	27.366	-1.077	1.076	0.602
CNAG_04874	NA	349.114	1.565	0.359	3.572e-4
CNAG_04875	NA	433.573	-0.064	0.393	0.9458
CNAG_04876	NA	327.984	-0.675	0.415	0.3155
CNAG_04877	NA	3.513	1.432	3.51	NA
CNAG_04878	FZC1	63.626	0.006	0.888	0.9982
CNAG_04879	NA	239.678	1.821	0.523	0.006856
CNAG_04880	NA	192.647	-0.257	0.515	0.8274
CNAG_04882	NA	187.486	-0.784	0.479	0.3114
CNAG_04883	NA	5872.58	-0.22	0.232	0.6242
CNAG_04884	NA	3661.101	-0.457	0.236	0.2078
CNAG_04886	NA	16.378	2.062	1.384	0.3753
CNAG_04887	NA	73.043	0.11	0.792	0.956
CNAG_04888	NA	28.821	-2.823	1.343	0.1596
CNAG_04889	NA	117.859	2.537	0.663	0.002389
CNAG_04890	NA	0	NA	NA	NA
CNAG_04891	NA	40.839	-0.87	1.095	0.6937
CNAG_04892	NA	18.615	0.814	1.331	0.7782
CNAG_04893	NA	63.088	0.128	0.798	0.9471
CNAG_04894	NA	21.679	0.677	1.228	0.806
CNAG_04895	FZC3	527.364	-0.165	0.321	0.8209
CNAG_04896	NA	318.487	-0.329	0.399	0.6824
CNAG_04897	NA	234.658	-0.47	0.416	0.5412
CNAG_04898	NA	24.315	0.11	1.142	0.9706
CNAG_04899	NA	399.825	-0.169	0.379	0.8458
CNAG_04900	NA	135.804	0.53	0.515	0.5899
CNAG_04901	NA	206.864	-0.803	0.478	0.2947
CNAG_04902	NA	218.182	1.681	0.467	0.004852
CNAG_04903	NA	100.445	3.318	0.746	2.652e-4
CNAG_04904	CHC1	1863.923	1.137	0.247	1.391e-4
CNAG_04905	NA	447.575	-0.495	0.334	0.3793
CNAG_04906	NA	258.718	0.533	0.403	0.4487
CNAG_04907	NA	65.904	0.101	0.729	0.9568
CNAG_04908	CLR4	175.177	0.359	0.484	0.7172
CNAG_04909	NA	200.05	-1.349	0.451	0.02559
CNAG_04911	NA	33.423	1.018	0.983	0.5854
CNAG_04913	NA	214.479	0.501	0.431	0.5246
CNAG_04914	NA	317.429	-0.254	0.37	0.7426
