gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00342	NA	228.569	1.081	0.512	0.1682
CNAG_00343	NA	44.888	0.682	0.834	0.7103
CNAG_00344	NA	99.358	0.934	0.642	0.4112
CNAG_00345	NA	180.826	-0.605	0.562	0.5871
CNAG_00346	NA	114.467	0.247	0.646	0.8849
CNAG_00347	NA	232.038	-0.692	0.456	0.3848
CNAG_00348	NA	69.141	0.652	0.71	0.665
CNAG_00349	NA	8.561	0.753	2.201	0.8987
CNAG_00351	NA	42.863	-0.221	1.036	0.9357
CNAG_00352	NA	57.627	0.435	0.836	0.8316
CNAG_00353	LPI16	33.333	1.522	0.924	0.3291
CNAG_00354	NA	854.378	1.429	0.394	0.005539
CNAG_00355	NA	187.919	0.694	0.514	0.4621
CNAG_00356	NA	351.913	-0.015	0.412	0.9897
CNAG_00357	NA	87.881	0.637	0.625	0.6172
CNAG_00358	NA	107.993	-1.11	0.579	0.2262
CNAG_00359	NA	205.372	-0.437	0.496	0.68
CNAG_00360	NA	55.8	0.379	0.791	0.8454
CNAG_00361	RVS167	211.839	0.868	0.561	0.3717
CNAG_00362	NA	83.938	-0.867	0.634	0.4524
CNAG_00363	TCO6	1265.099	0.542	0.359	0.3868
CNAG_00364	NA	91.714	-0.829	0.622	0.4712
CNAG_00365	NA	114.586	-0.492	0.575	0.6925
CNAG_00366	NA	8.924	0.676	1.712	0.8786
CNAG_00367	DYN5	18.739	1.143	1.23	0.6582
CNAG_00368	NA	96.737	0.931	0.664	0.4378
CNAG_00369	NA	92.348	0.548	0.682	0.714
CNAG_00370	UBI1	1932.521	-1.14	0.354	0.01658
CNAG_00371	NA	16.846	0.866	1.803	0.8454
CNAG_00372	NA	227.698	-0.145	0.453	0.9085
CNAG_00373	NA	295.276	1.133	0.466	0.09786
CNAG_00374	NA	119.807	2.35	0.581	0.001354
CNAG_00375	GCN5	164.093	-0.742	0.544	0.4547
CNAG_00376	NA	36.581	0.412	0.88	0.8506
CNAG_00377	NA	586.021	-0.47	0.379	0.51
CNAG_00378	NA	19.649	1.899	1.569	0.5248
CNAG_00383	APT3	463.598	0.851	0.388	0.1477
CNAG_00384	NA	15.766	1.086	1.386	0.7248
CNAG_00385	NA	88.341	0.955	0.697	0.4515
CNAG_00386	NA	1124.554	-1.401	0.365	0.002754
CNAG_00387	LPI13	93.516	0.163	0.765	0.9357
CNAG_00388	NA	322.247	0.043	0.452	0.9746
CNAG_00389	NA	109.611	0.879	0.574	0.3777
CNAG_00390	YMR1	160.019	-0.109	0.558	0.9407
CNAG_00391	NA	53.679	-1.613	0.875	0.2508
CNAG_00392	NA	33.879	-1.176	0.958	0.5167
CNAG_00393	NA	96.242	3.669	0.835	4.114e-4
CNAG_00394	NA	64.693	-1.205	0.787	0.3777
CNAG_00395	NA	105.082	1.238	0.594	0.1756
CNAG_00396	PKA1	90.293	0.776	0.801	0.6401
CNAG_00397	NA	18.029	0.208	1.295	0.9548
CNAG_00398	NA	178.155	1.257	0.489	0.07498
CNAG_00399	NA	234.48	-0.34	0.54	0.7894
CNAG_00400	NA	213.408	0.008	0.569	0.9975
CNAG_00401	NA	125.629	0.818	0.547	0.3932
CNAG_00402	NA	921.01	0.248	0.35	0.7602
CNAG_00403	NA	13.342	-3.406	1.753	0.2177
CNAG_00404	NA	180.112	1.363	0.516	0.06488
CNAG_00405	KIC1	296.66	1.205	0.476	0.08166
CNAG_00406	NA	66.554	0.217	0.7	0.9107
CNAG_00407	NA	1517.767	-0.223	0.361	0.7942
CNAG_00408	PPH3	39.874	-0.662	0.897	0.7488
CNAG_00409	NA	54.26	-1.344	0.846	0.3543
CNAG_00410	NA	311.282	0.034	0.417	0.9782
CNAG_00411	NA	176.964	-1.348	0.606	0.1404
CNAG_00412	NA	18.662	1.57	1.233	0.4966
CNAG_00413	OFD1	288.47	-1.369	0.504	0.05602
CNAG_00414	MAK32	25.965	-0.759	1.048	0.7552
CNAG_00415	CDC2801	95.059	-0.251	0.605	0.8707
CNAG_00416	NA	35.954	-0.49	0.898	0.8215
CNAG_00417	NA	2454.963	-1.214	0.358	0.01068
CNAG_00418	NA	1097.09	-1.156	0.345	0.01205
CNAG_00419	NA	24.901	-1.466	1.465	0.6256
CNAG_00420	NA	25.663	0.167	1.153	0.9594
CNAG_00421	NA	65.231	-0.627	0.712	0.68
CNAG_00422	NA	179.348	-0.415	0.492	0.6958
CNAG_00423	NA	30.989	-2.966	1.071	0.04959
CNAG_00424	NA	77.941	0.525	0.69	0.7379
CNAG_00425	NA	12.573	1.289	1.851	0.7658
CNAG_00426	NA	205.137	0.946	0.607	0.3689
CNAG_00427	PTC5	158.851	-0.621	0.528	0.5409
CNAG_00428	NA	77.713	0.122	0.915	0.9614
CNAG_00429	NA	101.81	-2.141	0.62	0.009152
CNAG_00430	NA	50.461	-0.57	0.805	0.7602
CNAG_00433	NA	44.175	-2.906	0.894	0.01539
CNAG_00434	NA	39.775	0.596	0.915	0.7816
CNAG_00435	NA	23.516	-0.932	1.208	0.7324
CNAG_00436	NA	168.757	0.538	0.58	0.6591
CNAG_00437	NA	46.298	-0.003	0.816	0.9997
CNAG_00438	NA	43.746	1.019	0.998	0.6169
CNAG_00439	NA	204.325	-0.766	0.517	0.3996
CNAG_00440	SSN801	32.099	-0.679	1.046	0.7824
CNAG_00441	IMD1	1771.434	-1.083	0.331	0.01455
CNAG_00442	NA	103.411	-0.377	0.595	0.7886
CNAG_00443	NA	8.709	-0.581	1.713	0.8997
CNAG_00444	NA	13.297	-2.254	2.247	0.6249
CNAG_00445	NHP6B01	569.041	1.902	0.378	2.816e-5
CNAG_00446	NA	8.337	-2.087	2.151	0.6393
CNAG_00447	NA	482.292	-0.745	0.386	0.2219
CNAG_00448	NA	128.367	-0.551	0.569	0.6407
CNAG_00449	NA	163.886	-0.766	0.576	0.4733
CNAG_00450	LEU2	114.006	-0.871	0.568	0.377
CNAG_00451	NA	37.134	-3.305	0.983	0.01161
CNAG_00452	NA	1.622	-0.053	4.512	NA
CNAG_00453	NA	65.718	-0.175	0.701	0.9277
CNAG_00454	NA	8.68	1.567	2.187	0.7588
CNAG_00455	UBP16	279.606	-0.369	0.454	0.7126
CNAG_00456	ISP6	1345.633	2.147	0.347	7.007e-8
CNAG_00457	GLN1	2080.876	-0.171	0.336	0.8349
CNAG_00458	NA	307.075	0.248	0.471	0.8288
CNAG_00460	LIV1	249.034	0.408	0.486	0.6968
CNAG_00461	NA	219.937	-0.083	0.462	0.9479
CNAG_00462	NA	237.886	-0.825	0.491	0.314
CNAG_00463	NA	1.217	-1.096	4.806	NA
CNAG_00464	NA	418.005	-0.316	0.4	0.7209
CNAG_00465	NA	181.781	1.705	0.62	0.0517
CNAG_00466	NA	31.557	0.622	0.953	0.7816
CNAG_00467	NA	50.871	0.877	0.82	0.591
CNAG_00468	NA	89.299	0.093	0.648	0.9595
CNAG_00469	NA	73.391	-0.098	0.687	0.9597
CNAG_00470	NA	47.331	-0.501	0.822	0.7953
CNAG_00471	NA	55.37	-1.558	0.764	0.1892
CNAG_00472	NA	80.995	-0.408	0.655	0.7924
CNAG_00473	OST2	76.52	0.788	0.679	0.5487
CNAG_00474	NA	40.897	0.587	0.866	0.7707
CNAG_00475	NA	63.185	-0.52	0.75	0.7672
CNAG_00476	NA	6.723	1.23	2.249	0.8209
CNAG_00480	NA	122.859	0.047	0.57	0.9779
CNAG_00481	NA	0	NA	NA	NA
CNAG_00482	NA	133.724	-0.579	0.57	0.6188
CNAG_00483	ACT1	1795.798	0.568	0.452	0.5034
CNAG_00484	NA	44.413	-0.202	0.875	0.931
CNAG_00485	NA	487.536	2.797	0.538	1.245e-5
CNAG_00486	NA	86.643	-0.95	0.797	0.5335
CNAG_00487	NA	12.023	4.43	1.785	0.08832
CNAG_00488	NA	25.71	-0.255	1.092	0.9303
CNAG_00490	NA	39.009	1.158	1.09	0.5952
CNAG_00491	NA	24.802	-0.55	1.561	0.8959
CNAG_00492	NA	10.922	1.207	1.911	0.7894
CNAG_00493	NA	376.096	0.816	0.427	0.227
CNAG_00495	NA	47.481	0.849	0.969	0.6815
CNAG_00496	NA	82.024	0.376	0.644	0.8074
CNAG_00497	NA	292.336	2.054	0.519	0.001812
CNAG_00498	CDC14	111.173	0.704	0.631	0.5701
CNAG_00499	NA	28.746	-0.712	1.232	0.8091
CNAG_00500	PTC1	114.966	1.321	0.576	0.1252
CNAG_00501	NA	8.189	3.067	1.812	0.3098
CNAG_00502	NA	140.668	-0.49	0.545	0.6736
CNAG_00503	NA	140.045	0.784	0.533	0.4028
CNAG_00504	NA	102.551	-0.233	0.588	0.8776
CNAG_00505	FZC28	79.779	-0.328	0.811	0.8753
CNAG_00506	NA	119.091	0.573	0.678	0.696
CNAG_00508	VPS17	205.786	0.449	0.472	0.649
CNAG_00509	NA	404.13	-1.419	0.414	0.009675
CNAG_00510	NA	79.285	-1.067	0.726	0.4042
CNAG_00511	NA	23.021	0.6	1.375	0.8642
CNAG_00512	NA	171.212	-1.075	0.517	0.1765
CNAG_00513	NA	166.679	-1.783	0.604	0.03306
CNAG_00514	NA	212.638	-0.945	0.486	0.217
CNAG_00515	NA	40.676	0.603	0.89	0.7708
CNAG_00516	PEX7	10.443	0.968	1.672	0.8091
CNAG_00517	NA	61.956	-1.392	0.765	0.2597
CNAG_00519	ERG3	242.757	-0.235	0.482	0.8426
CNAG_00520	NA	876.712	-1.043	0.434	0.1032
CNAG_00521	NA	110.31	1.836	0.648	0.04313
CNAG_00522	NA	331.989	2.107	0.561	0.003586
CNAG_00523	NA	59.149	-0.209	0.759	0.9214
CNAG_00524	NA	9.895	0.54	1.62	0.9013
CNAG_00525	NA	117.647	-0.662	0.649	0.6172
CNAG_00526	NA	8.71	1.136	2.064	0.8196
CNAG_00527	NA	278.658	-0.738	0.473	0.3688
CNAG_00528	NA	46.106	0.211	0.818	0.9259
CNAG_00529	NA	49.569	-0.413	0.852	0.8432
CNAG_00531	ENA1	3314.255	2.382	0.4	2.473e-7
CNAG_00532	NA	51.53	-0.607	0.831	0.7529
CNAG_00533	TIM50	294.554	-1.661	0.488	0.01052
CNAG_00534	NA	266.491	-1.47	0.441	0.01218
CNAG_00535	NA	125.534	-1.009	0.55	0.2545
CNAG_00536	NA	99.232	-1.164	0.639	0.2586
CNAG_00537	NA	50.651	4.021	2.839	0.4303
CNAG_00538	NA	118.436	-1.506	0.607	0.08832
CNAG_00539	NA	317.541	-1.906	0.682	0.04673
CNAG_00540	NA	24.298	2.182	1.758	0.51
CNAG_00541	NA	29.465	0.871	1.017	0.6917
CNAG_00542	NA	11.38	2.16	1.626	0.4734
CNAG_00543	NA	53.887	1.012	0.773	0.4814
CNAG_00544	NA	418.782	1.505	0.543	0.04959
CNAG_00545	NA	388.132	-0.429	0.437	0.6352
CNAG_00546	CHS4	670.955	1.625	0.427	0.003033
CNAG_00547	NA	906.281	0.134	0.37	0.8919
CNAG_00549	NA	0	NA	NA	NA
CNAG_00550	NA	91.538	-0.203	0.64	0.9088
CNAG_00551	NA	344.344	-0.234	0.419	0.8177
CNAG_00554	ISC1	83.407	-0.172	0.725	0.9298
CNAG_00555	NA	59.027	0.49	0.743	0.7784
CNAG_00556	CCK1	238.325	-0.457	0.464	0.6332
CNAG_00557	NA	65.782	0.04	0.709	0.986
CNAG_00558	NA	610.557	-0.289	0.384	0.7426
CNAG_00559	BZP3	266.581	-0.946	0.45	0.171
CNAG_00560	NA	137.219	-0.544	0.534	0.6172
CNAG_00561	HAT1	71.262	-1.305	0.687	0.2306
CNAG_00562	NA	71.546	-1.48	0.747	0.2042
CNAG_00563	NA	113.686	0.285	0.602	0.8486
CNAG_00564	NA	129.33	1.764	0.658	0.05976
